Best persons by credits,Credits,Best persons by vocals,Vocals,Best persons by writings and arrangements,Writings and arrangements
Traditional,51563,Dietrich Fischer-Dieskau,1015,Traditional,51418
Lennon-McCartney,13418,Wiener Staatsopernchor,680,Lennon-McCartney,13389
Duke Ellington,10657,Maria Callas,503,Duke Ellington,9452
Franz Schubert,9104,Tessa Niles,351,Franz Schubert,9095
Bob Dylan,8071,Theo Adam,324,Johannes Brahms,7879
Johannes Brahms,7891,Paul McCartney,300,Bob Dylan,7477
Georg Friedrich Händel,7450,Edda dellOrso,294,Georg Friedrich Händel,7445
Folk,7318,Katie Kissoon,294,Folk,7278
Frédéric Chopin,7130,Mick Jagger,290,Frédéric Chopin,7117
Giuseppe Verdi,6752,Eric Clapton,253,Giuseppe Verdi,6735
Rodgers & Hart,5862,Brenda White King,248,Rodgers & Hart,5858
Gus Kahn,5586,Fonzi Thornton,247,Gus Kahn,5584
,,,,,
SST (8),5584,John Lennon,246,Joseph Haydn,5497
,,,,,
Joseph Haydn,5499,Mario del Monaco,241,Robert Schumann,5293
,,,,,
Robert Schumann,5304,Emma Kirkby,239,Antonio Vivaldi,5157
,,,,,
Antonio Vivaldi,5159,Tawatha,233,Franz Liszt,5138
,,,,,
Antonio Carlos Jobim,5155,Ivana Selakov,224,Claude Debussy,4946
,,,,,
Franz Liszt,5146,Suzana Dinić,221,Antonio Carlos Jobim,4733
,,,,,
Anonymous,5043,David Bowie,216,Richard Wagner,4300
,,,,,
Claude Debussy,4983,James Bowman (2),215,Georges Bizet,4089
,,,,,
Richard Wagner,4328,Iggy Pop,211,Anonymous,4051
,,,,,
Thelonious Monk,4219,Keith Richards,206,Giacomo Puccini,3912
,,,,,
Georges Bizet,4097,Danka Stojiljković,204,Sammy Cahn,3859
,,,,,
Giacomo Puccini,3921,Elton John,204,Gioacchino Rossini,3762
,,,,,
Sammy Cahn,3869,Bob Dylan,197,Thelonious Monk,3695
,,,,,
Giorgio Moroder,3799,George Harrison,189,Holland-Dozier-Holland,3642
,,,,,
Holland-Dozier-Holland,3773,Jadranka Krištof,185,Charles Gounod,3248
,,,,,
David Bowie,3769,Neil Young,185,Sergei Prokofiev,3166
,,,,,
Gioacchino Rossini,3769,Hilde Güden,182,Camille Saint-Saëns,3117
,,,,,
Ennio Morricone,3750,Chor Der Staatsoper Berlin,177,Ennio Morricone,3001
,,,,,
Miles Davis,3674,Phil Minton,177,Richard Strauss,2833
,,,,,
Paul McCartney,3412,Tommy Funderburk,174,Giorgio Moroder,2769
,,,,,
John Lennon,3320,Don Henley,173,David Bowie,2707
,,,,,
Steve Cropper,3308,Lou Reed,173,Billy Strayhorn,2694
,,,,,
George Harrison,3254,Leontina,172,Francis Lai,2593
,,,,,
Charles Gounod,3252,Bono,167,Steve Cropper,2588
,,,,,
Philharmonia Orchestra,3234,Ozzy Osbourne,165,John Lennon,2585
,,,,,
Sergei Prokofiev,3208,Jimi Hendrix,163,George Harrison,2495
,,,,,
Camille Saint-Saëns,3132,Karl Schmitt-Walter,163,Miles Davis,2429
,,,,,
John Golden,3126,Hans Hotter,160,Phil Spector,2403
,,,,,
Brian Gardner,3046,Ringo Starr,160,Paul McCartney,2299
,,,,,
Tom Coyne,3005,Josef Greindl,157,Jacques Brel,2274
,,,,,
Billy Strayhorn,2937,Roger Taylor,157,Johnny Burke,2259
,,,,,
Phil Spector,2907,Brian May,149,Bob Marley,2223
,,,,,
Howie Weinberg,2896,Nils Lofgren,148,Jacques Offenbach,2137
,,,,,
Richard Strauss,2893,Sinéad OConnor,148,Jimi Hendrix,2116
,,,,,
Wiener Philharmoniker,2801,Sieglinde Wagner,147,Franz Gruber,2071
,,,,,
Tim Young,2723,Kurt Böhme,140,Joseph Kosma,2036
,,,,,
Jimi Hendrix,2706,Bob Marley,139,Gaetano Donizetti,2036
,,,,,
Francis Lai,2686,Joe Lynn Turner,139,Lou Reed,2020
